,会社名,給与,初年度年収
1206,"マイプリント株式会社 | 業界圧倒的シェアメーカー★3,000以上の式場と取引★完全週休2日",月給24万円以上 ＋ 諸手当(家族手当、交通費など) ※経験・能力等を考慮の上、決定いたします。 ※上記金…,340万円～400万円
1207,株式会社九州ソフタス | 【 官公庁や大手通信会社等との取引多数 】★PL・PMも目指せる！,月給25万円〜40万円 + 諸手当 ＋ 賞与年2回 ※年齢、経験、能力を考慮の上、優遇します。 ※残業が発生し…,375万円～600万円
1208,ダイレックス株式会社 | 【東証一部上場のサンドラッググループ】◎10年連続売上高UP！,月給17.3〜32.2万円 モデル月給例 ●月給:28.4万円 年収:450万円 ・基本給:21.3万円 ・時間外手当:4.9万…,300万円～400万円
1209,株式会社ハマエンジニアリング | 賞与年3回支給★20代で年収450万円超えも可能／web面接実施中,"月給170,000円〜400,000円 ＋ 賞与年3回 ＋ 各種手当 ※研修期間は約2週間を予定（条件変更無） ※残業…",280万円～400万円
1210,株式会社セラク | 【大阪府緊急雇用対策に賛同】――☆創業34年の東証一部上場企業,東京/千葉/埼玉:月給22万~40万円 横浜/名古屋/大阪:月給21万~40万円 上記以外:月給20万~40万円 ※社会人…,300万円～450万円
1211,マンパワーグループ株式会社 | ★完休2日 ★定時で帰れる仕事 ★無料の研修講座300項目以上,◇東京：月給20万6000円〜 ◇神奈川：月給19万8000円〜 ◇埼玉・千葉：月給19万円〜 ◇愛知：月給19万円…,不明
1212,渡辺パイプ株式会社 | 圧倒的な商材力で資材をワンストップで提供する業界の先進的企業,月給20万〜40万円 ※経験・能力・実績・年齢等を考慮の上、当社規定により優遇します。 ※試用期間3ヶ月…,350万円～550万円
1213,株式会社コスモス薬品 | ★無理なく適正な人数体制で店舗を運営しています ★20代活躍中,◆ナショナル勤務 1)月給20万6000円〜26万円 2)月給27万3000円〜31万円（固定残業代30h／45000円以上含む…,250万円～430万円
1214,電力調査株式会社 | 【大阪府緊急雇用対策に賛同】鉄道や通信を守る景気に強い会社◆,"月給：250,000円〜＋諸手当＋賞与年2回＋会社業績により決算賞与 ≪モデル月収≫ 月収26万円／23歳 中途…",400万円～450万円
1215,富国生命保険相互会社 | 経営安定、待遇・福利厚生充実の企業が中途採用を実施！,月給22〜40万円＋諸手当(初任給加算・家族手当・住宅手当)＋成績給 ※給与は前職、スキル等を考慮し決定…,350万円～650万円
1216,株式会社アールソリューション | オフィスの内装工事・現場管理に特化したサービスで成長中！,【1】月4日休みの場合：月給33万円〜 【2】月8日休みの場合：月給28万円〜 ※経験・能力・年齢などに応…,不明
1217,株式会社竹中道路 | 竹中工務店グループ/週休２日/経験次第で初年度年収約800万円可,【未経験者】 月給19万円〜31万5000円 【経験者】 月給24万7000円〜66万5000円 ■基本給以外に ※作業…,450万円～800万円
1218,株式会社ミュゼプラチナム | *＊転勤なし／原則定時退社／コスメ社割／全身美容脱毛0円＊*,【1】月給24万円以上 東京/神奈川/埼玉/千葉/茨城/静岡/山梨/ 岐阜/愛知/三重/滋賀/大阪/京都/奈良/兵庫…,350万円～450万円
1219,HITOWAライフパートナー株式会社 | 全国募集★自宅開業OK★転勤なし◎未経験歓迎！学歴・年齢不問！,"【月収にすると約60万円が平均！】月100万円以上稼ぐ方も◎ 売上1,111,617円ー（原価：55,581円＋販管費…",300万円～1000万円
1220,電力調査株式会社 | ～ 電力会社のパートナーとして、電力インフラを守る会社です ～,"月給：250,000円〜＋諸手当＋賞与年2回＋会社業績により決算賞与 ≪モデル月収≫ 月収26万円／23歳 中途…",400万円～450万円
1221,マンパワーグループ株式会社 | ★完休2日 ★定時で帰れる仕事 ★無料の研修講座300項目以上,◇東京：月給20万6000円〜 ◇神奈川：月給19万8000円〜 ◇埼玉・千葉：月給19万円〜 ◇愛知：月給19万円…,不明
1222,大同生命保険株式会社 | ★業界経験一切不問 ★有給取得実績多数 ★転勤なし ★土日休み,初任給 月給16万〜25万円＋諸手当(地域・能力により異なる) ※試用期間2ヶ月あり（条件変更なし） ＜＜ …,不明
1223,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,【東京】 月給25万円~40万円＋インセンティブ 【北海道】 月給21万円~25万円＋インセンティブ 【東北】…,不明
1224,マーキュリーアシェンソーレ株式会社 | 「職人技」も「国家資格」もここで習得！★賞与年3回★未経験OK,"首都圏支社 ・月給190,000円 〜 280,000円＋ 　役職手当 + 住宅手当 + 家族手当 + 通勤手当 ★東京23区…",330万円～500万円
1225,トランコム株式会社 | 【 大阪府緊急雇用対策に賛同 】東証・名証一部上場／年休120日,"【 月給23万6,000円〜 ＋ 各種手当 】 上記には固定残業代3万5,400円〜(23.1時間相当分)を含みます。超…",350万円～410万円
1226,株式会社TMJ | 東証一部セコムグループ★ホワイト企業認定/くるみんマーク取得,"月給：258,400円円以上＋ミニボーナス（残業代別途） ※経験・スキルを考慮の上、決定します。 ※勤務地…",不明
1227,UTエイム株式会社 | 【超スピード選考】最短当日面談＆当日採用(規定有)！,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
1228,デリカSFホールディングス合同募集 | ヤマエ久野グループ★セブンイレブンパートナー,"月給18万円〜21万5,000円 ※年齢を考慮の上、優遇します。 ＝＝給与詳細＝＝ ◇株式会社デリカフレン…",不明
1229,文化シヤッターサービス株式会社 | 【文化シヤッターグループ(東証一部上場)】★人物重視・面接1回,"◆月給18万2,900円〜26万3,000円（一律で支給される手当を含む）＋諸手当＋賞与年2回（5.3ヶ月分） ※経…",350万円～550万円
1230,横浜金属商事株式会社 | ◆未経験歓迎◆残業ほぼ無◆賞与年3回◆業界のパイオニア ◆,◆月給：21万円〜32万円 ＋各種充実の手当 ＋ 成果に応じたインセンティブあり！ ※年齢や経験・能力など…,300万円～500万円
1231,マンパワーグループ株式会社 | ＊無料の研修講座300項目以上も！働きながらスキルUPが叶う♪＊,【関西】 ◇大阪／月給19万5000円〜＋賞与 ◇兵庫／月給18万4000円〜＋賞与 ◇京都／月給18万3000円〜＋…,不明
1232,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証1部上場グループ】,"月給200,000円〜225,000円（カリキュラム終了後の月収例：月収30万円／月給28.5万円＋手当） ※勤務地に…",300万円～500万円
1233,株式会社カナモト | <東証1部上場・景気に左右されない安定感&成長企業>★土日祝休み,■月給21万円〜30万円＋諸手当＋賞与年3回（実績：4.5ヵ月分） ※経験、能力を考慮し、優遇いたします。 …,350万円～450万円
1234,アマゾン ジャパン合同会社 | ☆女性も活躍中！／年間休日120日以上／充実の研修あり☆,年俸360万円〜 ※ご経験・評価により決定（別途残業代支給） ※固定残業手当なし ※試用期間3ヶ月（待遇…,400万円～500万円
1235,株式会社オンテックス | 外壁塗装のトップブランド｜7月から完全週休2日制／年休120日へ,月給30万〜40万円+インセンティブ ※年齢や経験を考慮し決定します。 ※上記は固定残業代(7万円〜／20時…,400万円～800万円
1236,株式会社オープンハウス・アーキテクト | 株式会社オープンハウス（東証一部上場）の中核を担う超成長企業,月給24万円〜85万円＋インセンティブ＋賞与 ※経験・能力を考慮して決定します。 ※試用期間6ヶ月（待遇…,400万円～1100万円
1237,株式会社PEO | 東証一部上場アウトソーシンググループ ▼残業月30ｈ▼年休125日,◆月給：24万6890円以上＋各種手当 　 ※地域・年齢・経験を考慮して決定します。 ※上記には、固定残業…,不明
1238,ＳＯＭＰＯひまわり生命保険株式会社 | ★土日祝＋安心の固定給 ★テレワークも可能★3年間の研修制度,月給30万2000円スタート ★モデル例 年収800万円／34歳 経験6年 年収600万円／32歳 経験4年 年収400万円…,350万円～600万円
1239,UTエイム株式会社 | 【東証一部上場グループ】フリーターもOK！大切なのはこれから♪,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
1240,株式会社ビッグモーター | 年収800万円も可能★月8～10日休み★面接1回★住宅手当など充実,"月給228,600円〜35万円＋インセンティブ（月平均10〜20万円）＋諸手当 ※スキル・経験等を考慮し、決定…",300万円～1000万円
1241,株式会社コプロ・エンジニアード | 東証・名証一部上場のコプロ・ホールディングスグループ,【東京】月給27万4070円以上＋残業手当 【名古屋】月給25万1920円以上＋残業手当 【大阪】月給25万8130円…,400万円～500万円
1242,株式会社アイエスエフネット | ＊在宅比率55.7％ ＊有給取得率81％ ＊年間休日126日／土日祝,月給27万円〜　＋　インセンティブ賞与・諸手当 ※経験・スキル、取得資格を考慮して決定します ※試用…,360万円～700万円
1243,UTエイム株式会社 | 【東証一部上場グループ】弱みがあったっていいじゃない♪,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
1244,エフコープ生活協同組合 | 残業は月20h以下！毎日18時までには帰宅することができます♪,"■大卒以上 月給18万8,900円〜＋各種手当＋賞与（昨年度4.5ヵ月） ■高卒、専門卒、短大卒 月給17万8,50…",不明
1245,"株式会社串カツ田中 | ""100年後も生き残ると思う平成生まれの日本企業""にランクイン！",【未経験者】 月給23万円〜25万1500円＋超過勤務手当＋業績賞与年2回+各種手当 ※みなし残業手当30時間：…,350万円～450万円
1246,株式会社スタッフサービス | <在宅あり>充実の研修制度★育休取得率100％★女性活躍中,東京／月給20万円〜 神奈川・大阪／月給19万円〜 埼玉・千葉・愛知・兵庫／月給18万円〜 京都／月給17万2…,250万円～350万円
1247,豊運輸株式会社 | 「家族のため」「生活のため」守るものがある、あなたのために！,月給26万円以上 （一律手当含む） ※年齢、経験、能力を考慮の上、優遇します。 ※待遇条件の詳細につい…,不明
